line_number,section,hindi,english,roman
1.0,,"बाल समय रवि भक्ष लियो तब, तीनहुं लोक भयो अंधियारो।","In childhood he swallowed the sun, plunging all three worlds into darkness","Baal samay ravi bhaksh liyo tab, teenahun lok bhayo andhiyaro"
,,"ताहि सों त्रास भयो जग को, यह संकट काहु सों जात न टारो।","The world trembled with fear, and this crisis could not be resolved by anyone","Tahi son tras bhayo jag ko, yeh sankat kahu son jat na taro"
,,"देवन आनि करी बिनती तब, छाड़ी दियो रवि कष्ट निवारो।","Then the gods came and pleaded, and he released the sun, removing the calamity","Devan ani kari binti tab, chadi diyo ravi kasht nivaro"
,,"को नहीं जानत है जग में कपि, संकटमोचन नाम तिहारो।","Who in this world does not know you, O monkey-lord, whose name is Sankat Mochan","Ko nahin janat hai jag mein kapi, sankatmochan naam tiharo"
,|| ॐ ||,,,
,,"बालि की त्रास कपीस बसैं गिरि, जात महाप्रभु पंथ निहारो।","Tormented by Bali, the monkey-king lived on the mountain, watching the path of the great Lord","Bali ki tras kapees basain giri, jat mahaprabhu panth niharo"
,,"चौंकि महामुनि साप दियो तब, चाहिए कौन बिचार बिचारो।",The great sage gave a curse — what more deliberation was needed?,"Chonki mahamuni saap diyo tab, chahiye kaun bichar bicharo"
,,"कैद्विज रूप लिवाय महाप्रभु, सो तुम दास के सोक निवारो।","Taking the form of a brahmin, the great Lord came and you removed the grief of his servant","Kaidwij roop livay mahaprabhu, so tum das ke sok nivaro"
,,"को नहीं जानत है जग में कपि, संकटमोचन नाम तिहारो।","Who in this world does not know you, O monkey-lord, whose name is Sankat Mochan","Ko nahin janat hai jag mein kapi, sankatmochan naam tiharo"
,|| ॐ ||,,,
,,"अंगद के संग लेन गए सिय, खोज कपीस यह बैन उचारो।","Going with Angad to search for Sita, the monkey-king spoke these words","Angad ke sang len gaye siy, khoj kapees yeh bain ucharo"
,,"जीवत ना बचिहौ हम सो जु, बिना सुधि लाये इहां पगु धारो।",We will not survive if we return without news of Sita,"Jeevat na bachihau ham so ju, bina sudhi laye ihan pagu dharo"
,,"हेरी थके तट सिन्धु सबे तब, लाए सिया-सुधि प्राण उबारो।","All were weary searching the ocean shore, then you brought news of Sita and saved our lives","Heri thake tat sindhu sabe tab, laye siya sudhi pran ubaro"
,,"को नहीं जानत है जग में कपि, संकटमोचन नाम तिहारो।","Who in this world does not know you, O monkey-lord, whose name is Sankat Mochan","Ko nahin janat hai jag mein kapi, sankatmochan naam tiharo"
,|| ॐ ||,,,
,,"लाल देह लाली लसे, अरु धरि लाल लंगूर।","His red body glows brilliantly, bearing his red tail","Lal deh lali lase, aru dhari lal langoor"
,,"वज्र देह दानव दलन, जय जय जय कपि सूर।।","His thunderbolt body destroys demons — victory, victory, victory to the heroic monkey","Vajra deh danav dalan, jai jai jai kapi soor"
,,"जय श्रीराम, जय हनुमान, जय हनुमान।","Victory to Shri Ram, victory to Hanuman, victory to Hanuman","Jai Shri Ram, Jai Hanuman, Jai Hanuman"
,|| अंत ||,,,
