line_number,section,hindi,english,roman
1.0,॥दोहा॥,"श्रीगुरु चरन सरोज रज, निज मनु मुकुरु सुधारि। बरनउँ रघुबर बिमल जसु, जो दायकु फल चारि॥","Cleansing the mirror of my mind with the dust of the lotus feet of my Guru, I describe the pure fame of Raghuvara (Rama), which bestows the four fruits of life","Shri Guru Charan Saroj Raj, Nij Manu Mukuru Sudhari, Barnau Raghubar Bimal Jasu, Jo Dayaku Phal Chari"
2.0,,"बुद्धिहीन तनु जानिके, सुमिरौं पवन-कुमार। बल बुद्धि विद्या देहु मोहिं, हरहु कलेस विकार॥","Knowing myself to be ignorant, I remember the son of the Wind; grant me strength, wisdom and knowledge, and remove my afflictions and impurities","Buddhihin Tanu Janike, Sumiron Pavan Kumar, Bal Buddhi Vidya Dehu Mohin, Harahu Kales Vikar"
3.0,॥चौपाई॥,जय हनुमान ज्ञान गुन सागर। जय कपीस तिहुँ लोक उजागर॥,"Victory to Hanuman, ocean of wisdom and virtue; victory to the lord of monkeys who illuminates all three worlds","Jai Hanuman Gyan Gun Sagar, Jai Kapis Tihun Lok Ujagar"
4.0,,रामदूत अतुलित बल धामा। अंजनि-पुत्र पवनसुत नामा॥,"Messenger of Ram, abode of incomparable strength; son of Anjani, known as the son of the Wind god","Ramdoot Atulit Bal Dhama, Anjani Putra Pavansut Nama"
5.0,,महावीर विक्रम बजरंगी। कुमति निवार सुमति के संगी॥,"Great hero, valiant and with a body hard as thunderbolt; remover of evil intellect and companion of good sense","Mahaveer Vikram Bajrangi, Kumati Nivar Sumati Ke Sangi"
6.0,,कंचन बरन बिराज सुबेसा। कानन कुण्डल कुँचित केसा॥,"Of golden hue, splendidly attired; with earrings in ears and curly hair","Kanchan Baran Biraj Subesa, Kanan Kundal Kunchit Kesa"
7.0,,हाथ बज्र औ ध्वजा बिराजै। काँधे मूँज जनेऊ साजै॥,In his hands shines the thunderbolt and a flag; a sacred thread of munja grass adorns his shoulder,"Hath Bajra Au Dhwaja Birajai, Kandhe Munj Janeu Sajai"
8.0,,शंकर सुवन केसरीनंदन। तेज प्रताप महा जग वंदन॥,"Son of Shankara, delight of Kesari; of great glory and splendour, worshipped throughout the world","Shankar Suvan Kesari Nandan, Tej Pratap Maha Jag Vandan"
9.0,,विद्यावान गुनी अति चातुर। राम काज करिबे को आतुर॥,"Highly learned, virtuous and very clever; ever eager to carry out the work of Rama","Vidyavan Guni Ati Chatur, Ram Kaj Karibe Ko Atur"
10.0,,प्रभु चरित्र सुनिबे को रसिया। राम लखन सीता मन बसिया॥,"Delighting in listening to the Lord's deeds; Ram, Lakshman and Sita are enshrined in his heart","Prabhu Charitra Sunibe Ko Rasiya, Ram Lakhan Sita Man Basiya"
11.0,,सूक्ष्म रूप धरि सियहिं दिखावा। बिकट रूप धरि लंक जरावा॥,Taking a tiny form he appeared before Sita; taking a terrifying form he burned Lanka,"Sookshma Roop Dhari Siyahin Dikhawa, Bikat Roop Dhari Lank Jarava"
12.0,,भीम रूप धरि असुर सँहारे। रामचंद्र के काज सँवारे॥,Taking a huge form he slaughtered demons; accomplished all the tasks of Ramachandra,"Bheem Roop Dhari Asur Sanhare, Ramchandra Ke Kaj Sanvare"
13.0,,लाय सजीवन लखन जियाये। श्री रघुबीर हरषि उर लाये॥,Bringing the Sanjeevani herb he revived Lakshmana; Shri Raghuvira joyfully embraced him,"Lay Sajeevan Lakhan Jiyaye, Shri Raghuveer Harashi Ur Laye"
14.0,,रघुपति कीन्ही बहुत बड़ाई। तुम मम प्रिय भरतहि सम भाई॥,"Raghupati praised him greatly; ""You are dear to me as my brother Bharata""","Raghupati Kinhi Bahut Badai, Tum Mam Priya Bharatahi Sam Bhai"
15.0,,सहस बदन तुम्हारो जस गावैं। अस कहि श्रीपति कंठ लगावैं॥,"Thousands of mouths sing your glory; saying this, Shripati embraced him","Sahas Badan Tumharo Jas Gaven, As Kahi Shripati Kanth Lagaven"
16.0,,सनकादिक ब्रह्मादि मुनीसा। नारद सारद सहित अहीसा॥,"Sages like Sanaka, Brahma and other sages; Narada, Sharada and the king of serpents","Sanakadik Brahmadi Munisa, Narad Sarad Sahit Ahisa"
17.0,,जम कुबेर दिगपाल जहाँ ते। कवि कोविद कहि सके कहाँ ते॥,"Yama, Kubera and the guardians of directions; poets and scholars cannot fully describe your glory","Jam Kuber Digpal Jahan Te, Kavi Kovid Kahi Sake Kahan Te"
